Spins,Seed,
32,1,-13.16178245
32,2,-11.82060706
32,3,-14.34129143
32,4,-16.49114887
32,5,-13.75706496
32,6,-17.51832298
32,7,-15.61248682
32,8,-15.1964272
32,9,-16.10563238
32,10,-16.13549512
32,11,-13.27067173
32,12,-14.86044415
32,13,-15.82581313
32,14,-15.85971146
32,15,-13.07105939
32,16,-13.04004718
32,17,-13.52609392
32,18,-17.09632826
32,19,-14.71570516
32,20,-17.38766141
32,21,-14.19107603
32,22,-16.40356115
32,23,-15.68020613
32,24,-18.79857856
32,25,-14.29586032
64,1,-28.2897936
64,2,-29.39044755
64,3,-29.45749625
64,4,-32.94610773
64,5,-31.3387274
64,6,-35.80990952
64,7,-31.47723825
64,8,-31.47230173
64,9,-32.58856547
64,10,-32.43424367
64,11,-29.7679396
64,12,-29.77713154
64,13,-30.2073789
64,14,-30.65263383
64,15,-26.24334487
64,16,-28.41184733
64,17,-30.61615141
64,18,-32.15515862
64,19,-31.74548773
64,20,-33.12158384
64,21,-33.40695954
64,22,-30.13030663
64,23,-31.71619315
64,24,-37.57291759
64,25,-31.85056934
128,1,-62.39542036
128,2,-59.47990233
128,3,-61.79993633
128,4,-67.06292452
128,5,-65.10817197
128,6,-65.10055315
128,7,-64.33952623
128,8,-65.38018958
128,9,-61.87945959
128,10,-60.14667916
128,11,-64.64544398
128,12,-63.13997627
128,13,-59.46760278
128,14,-59.68916499
128,15,-58.85945107
128,16,-63.36543677
128,17,-65.5746347
128,18,-64.01167204
128,19,-66.64787682
128,20,-65.81711745
128,21,-66.22573302
128,22,-62.95150158
128,23,-62.14084533
128,24,-68.39323029
128,25,-60.63640887
